notebook_path,relative_notebook_path,tracked_in_git,modified_vs_head_before_audit,head_cell_count,current_cell_count,cell_count_delta,head_function_defs,current_function_defs,function_def_delta,exact_source_cells_added,exact_source_cells_removed,exact_source_cells_moved,functions_moved_earlier_vs_head,git_insertions,git_deletions
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MinSamplesSplit_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MinSamplesSplit_Trial.ipynb,True,False,46,46,0,6,6,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_NEstimators_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_NEstimators_Trial.ipynb,True,False,46,46,0,6,6,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Trial_Comparison.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Trial_Comparison.ipynb,True,False,3,3,0,0,0,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Baseline.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Baseline.ipynb,True,False,12,12,0,15,15,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Controlled_Trial_Comparison.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Controlled_Trial_Comparison.ipynb,True,False,6,6,0,10,10,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Data_Preparation.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Data_Preparation.ipynb,True,False,12,12,0,11,11,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,True,False,12,12,0,21,21,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,True,False,12,12,0,21,21,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,True,False,12,12,0,21,21,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Final_Selected_Model.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Final_Selected_Model.ipynb,True,False,10,10,0,16,16,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Genetic_Algorithm.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Genetic_Algorithm.ipynb,True,False,11,11,0,20,20,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_HPO_Comparison.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_HPO_Comparison.ipynb,True,False,14,14,0,21,21,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Kernel_Size_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Kernel_Size_Trial.ipynb,True,False,12,12,0,21,21,0,0,0,0,,,
